Hubald model simulation data
""
starting_time = Fri Sep 22 15:15:57 2023
finishing_time = Fri Sep 22 21:56:44 2023
elapsed_time = 24047.447558879852 s
starting_sats = 40000
sigma = 2000
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 50
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments
201.0;0.0;29.0;41264.0;13589.0;27675.0;103800000.0;115200.0
204.0;0.0;29.0;41307.0;13635.0;27672.0;103850000.0;115400.0
207.0;0.0;29.0;41353.0;13682.0;27671.0;103900000.0;115600.0
210.0;1.0;30.0;41369.0;13703.0;27666.0;104000000.0;116000.0
213.0;0.0;30.0;41386.0;13726.0;27660.0;104100000.0;116400.0
216.0;0.0;30.0;41396.0;13742.0;27654.0;104300000.0;117200.0
219.0;0.0;30.0;41411.0;13761.0;27650.0;104500000.0;118000.0
222.0;0.0;30.0;41452.0;13804.0;27648.0;104550000.0;118200.0
225.0;0.0;30.0;41450.0;13805.0;27645.0;104700000.0;118800.0
228.0;0.0;30.0;41462.0;13819.0;27643.0;104800000.0;119200.0
231.0;0.0;30.0;41502.0;13861.0;27641.0;104850000.0;119400.0
234.0;0.0;30.0;41544.0;13907.0;27637.0;104850000.0;119400.0
237.0;0.0;30.0;41579.0;13945.0;27634.0;104900000.0;119600.0
240.0;0.0;30.0;41592.0;13962.0;27630.0;105000000.0;120000.0
243.0;0.0;30.0;41593.0;13967.0;27626.0;105100000.0;120400.0
246.0;0.0;30.0;41620.0;13993.0;27627.0;105100000.0;120400.0
249.0;0.0;30.0;41656.0;14032.0;27624.0;105150000.0;120600.0
252.0;0.0;30.0;41699.0;14077.0;27622.0;105250000.0;121000.0
255.0;0.0;30.0;41722.0;14103.0;27619.0;105300000.0;121200.0
258.0;0.0;30.0;41734.0;14120.0;27614.0;105450000.0;121800.0
261.0;0.0;30.0;41739.0;14127.0;27612.0;105450000.0;121800.0
264.0;0.0;30.0;41785.0;14174.0;27611.0;105500000.0;122000.0
267.0;0.0;30.0;41801.0;14193.0;27608.0;105650000.0;122600.0
270.0;0.0;30.0;41830.0;14223.0;27607.0;105650000.0;122600.0
273.0;0.0;30.0;41848.0;14244.0;27604.0;105700000.0;122800.0
276.0;0.0;30.0;41892.0;14290.0;27602.0;105850000.0;123400.0
279.0;0.0;30.0;41910.0;14308.0;27602.0;105850000.0;123400.0
282.0;0.0;30.0;41926.0;14326.0;27600.0;106050000.0;124200.0
285.0;0.0;30.0;41928.0;14330.0;27598.0;106100000.0;124400.0
288.0;0.0;30.0;41940.0;14342.0;27598.0;106100000.0;124400.0
291.0;0.0;30.0;41958.0;14363.0;27595.0;106100000.0;124400.0
294.0;0.0;30.0;41986.0;14394.0;27592.0;106200000.0;124800.0
297.0;0.0;30.0;41998.0;14407.0;27591.0;106300000.0;125200.0
300.0;0.0;30.0;42043.0;14451.0;27592.0;106300000.0;125200.0
303.0;0.0;30.0;42060.0;14470.0;27590.0;106350000.0;125400.0
306.0;0.0;30.0;42094.0;14507.0;27587.0;106450000.0;125800.0
309.0;2.0;32.0;42128.0;14545.0;27583.0;106550000.0;126200.0
