Hubald model simulation data
""
starting_time = Sat Sep 23 07:49:20 2023
finishing_time = Sun Sep 24 01:46:19 2023
elapsed_time = 64618.83369803429 s
starting_sats = 40000
sigma = 2000
active_percentage = 0.3
aLimits = [6570000, 8370000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 200
deorbits_per_timestep = 5

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments
201.0;0.0;33.0;46589.0;18790.0;27799.0;104250000.0;117000.0
204.0;0.0;33.0;46782.0;18986.0;27796.0;104250000.0;117000.0
207.0;0.0;33.0;46874.0;19080.0;27794.0;104300000.0;117200.0
210.0;0.0;33.0;47030.0;19235.0;27795.0;104450000.0;117800.0
213.0;0.0;33.0;47140.0;19347.0;27793.0;104550000.0;118200.0
216.0;0.0;33.0;47233.0;19441.0;27792.0;104550000.0;118200.0
219.0;0.0;33.0;47325.0;19535.0;27790.0;104700000.0;118800.0
222.0;0.0;33.0;47375.0;19589.0;27786.0;104700000.0;118800.0
225.0;0.0;33.0;47523.0;19740.0;27783.0;104750000.0;119000.0
228.0;2.0;35.0;47542.0;19762.0;27780.0;104750000.0;119000.0
231.0;1.0;36.0;47595.0;19821.0;27774.0;104750000.0;119000.0
234.0;0.0;36.0;47623.0;19849.0;27774.0;104850000.0;119400.0
237.0;0.0;36.0;47814.0;20042.0;27772.0;104850000.0;119400.0
240.0;0.0;36.0;47857.0;20087.0;27770.0;104950000.0;119800.0
243.0;0.0;36.0;47992.0;20228.0;27764.0;105150000.0;120600.0
246.0;0.0;36.0;48149.0;20387.0;27762.0;105150000.0;120600.0
249.0;0.0;36.0;48261.0;20501.0;27760.0;105250000.0;121000.0
252.0;0.0;36.0;48365.0;20605.0;27760.0;105300000.0;121200.0
255.0;0.0;36.0;48503.0;20741.0;27762.0;105350000.0;121400.0
258.0;0.0;36.0;48522.0;20764.0;27758.0;105500000.0;122000.0
261.0;0.0;36.0;48639.0;20885.0;27754.0;105550000.0;122200.0
264.0;0.0;36.0;48705.0;20950.0;27755.0;105550000.0;122200.0
267.0;0.0;36.0;48736.0;20984.0;27752.0;105600000.0;122400.0
270.0;0.0;36.0;48773.0;21024.0;27749.0;105650000.0;122600.0
273.0;1.0;37.0;48771.0;21027.0;27744.0;105650000.0;122600.0
276.0;0.0;37.0;48780.0;21037.0;27743.0;105750000.0;123000.0
279.0;0.0;37.0;48789.0;21050.0;27739.0;105800000.0;123200.0
282.0;0.0;37.0;48924.0;21189.0;27735.0;105850000.0;123400.0
285.0;0.0;37.0;49044.0;21310.0;27734.0;105900000.0;123600.0
288.0;0.0;37.0;49062.0;21332.0;27730.0;106100000.0;124400.0
291.0;0.0;37.0;49241.0;21512.0;27729.0;106150000.0;124600.0
294.0;0.0;37.0;49348.0;21623.0;27725.0;106150000.0;124600.0
297.0;1.0;38.0;49372.0;21650.0;27722.0;106200000.0;124800.0
300.0;0.0;38.0;49414.0;21696.0;27718.0;106350000.0;125400.0
303.0;0.0;38.0;49581.0;21864.0;27717.0;106350000.0;125400.0
306.0;0.0;38.0;49765.0;22052.0;27713.0;106450000.0;125800.0
309.0;0.0;38.0;49838.0;22128.0;27710.0;106550000.0;126200.0
312.0;1.0;39.0;49915.0;22207.0;27708.0;106600000.0;126400.0
315.0;0.0;39.0;50103.0;22397.0;27706.0;106750000.0;127000.0
318.0;0.0;39.0;50294.0;22588.0;27706.0;106750000.0;127000.0
321.0;0.0;39.0;50440.0;22736.0;27704.0;107000000.0;128000.0
324.0;0.0;39.0;50609.0;22907.0;27702.0;107200000.0;128800.0
327.0;0.0;39.0;50618.0;22920.0;27698.0;107250000.0;129000.0
330.0;0.0;39.0;50669.0;22972.0;27697.0;107300000.0;129200.0
333.0;0.0;39.0;50842.0;23150.0;27692.0;107400000.0;129600.0
336.0;0.0;39.0;50905.0;23218.0;27687.0;107550000.0;130200.0
339.0;0.0;39.0;51030.0;23342.0;27688.0;107550000.0;130200.0
342.0;0.0;39.0;51205.0;23520.0;27685.0;107550000.0;130200.0
345.0;0.0;39.0;51299.0;23616.0;27683.0;107600000.0;130400.0
348.0;0.0;39.0;51400.0;23722.0;27678.0;107850000.0;131400.0
351.0;1.0;40.0;51577.0;23902.0;27675.0;108000000.0;132000.0
354.0;0.0;40.0;51584.0;23910.0;27674.0;108100000.0;132400.0
357.0;0.0;40.0;51725.0;24055.0;27670.0;108150000.0;132600.0
360.0;0.0;40.0;51905.0;24235.0;27670.0;108150000.0;132600.0
363.0;0.0;40.0;52054.0;24383.0;27671.0;108200000.0;132800.0
366.0;0.0;40.0;52236.0;24567.0;27669.0;108300000.0;133200.0
369.0;0.0;40.0;52264.0;24599.0;27665.0;108400000.0;133600.0
372.0;0.0;40.0;52270.0;24610.0;27660.0;108450000.0;133800.0
375.0;0.0;40.0;52391.0;24731.0;27660.0;108600000.0;134400.0
378.0;0.0;40.0;52442.0;24787.0;27655.0;108700000.0;134800.0
381.0;0.0;40.0;52477.0;24824.0;27653.0;108850000.0;135400.0
384.0;0.0;40.0;52524.0;24874.0;27650.0;108900000.0;135600.0
387.0;0.0;40.0;52531.0;24882.0;27649.0;108950000.0;135800.0
390.0;0.0;40.0;52584.0;24938.0;27646.0;109100000.0;136400.0
393.0;0.0;40.0;52657.0;25012.0;27645.0;109150000.0;136600.0
396.0;0.0;40.0;52807.0;25166.0;27641.0;109250000.0;137000.0
399.0;0.0;40.0;52904.0;25265.0;27639.0;109300000.0;137200.0
402.0;0.0;40.0;52941.0;25307.0;27634.0;109350000.0;137400.0
405.0;0.0;40.0;53011.0;25376.0;27635.0;109400000.0;137600.0
408.0;1.0;41.0;53111.0;25476.0;27635.0;109450000.0;137800.0
411.0;0.0;41.0;53265.0;25633.0;27632.0;109600000.0;138400.0
414.0;0.0;41.0;53441.0;25811.0;27630.0;109650000.0;138600.0
417.0;1.0;42.0;53607.0;25982.0;27625.0;109700000.0;138800.0
420.0;0.0;42.0;53767.0;26144.0;27623.0;109750000.0;139000.0
423.0;0.0;42.0;53859.0;26239.0;27620.0;109900000.0;139600.0
426.0;0.0;42.0;53960.0;26342.0;27618.0;109950000.0;139800.0
429.0;0.0;42.0;53974.0;26356.0;27618.0;110050000.0;140200.0
432.0;0.0;42.0;54101.0;26489.0;27612.0;110200000.0;140800.0
435.0;0.0;42.0;54198.0;26585.0;27613.0;110200000.0;140800.0
438.0;0.0;42.0;54283.0;26673.0;27610.0;110350000.0;141400.0
441.0;0.0;42.0;54314.0;26706.0;27608.0;110500000.0;142000.0
444.0;0.0;42.0;54330.0;26720.0;27610.0;110600000.0;142400.0
447.0;0.0;42.0;54462.0;26856.0;27606.0;110650000.0;142600.0
450.0;0.0;42.0;54502.0;26896.0;27606.0;110650000.0;142600.0
453.0;0.0;42.0;54689.0;27086.0;27603.0;110800000.0;143200.0
456.0;0.0;42.0;54702.0;27100.0;27602.0;111000000.0;144000.0
459.0;0.0;42.0;54891.0;27292.0;27599.0;111100000.0;144400.0
462.0;0.0;42.0;55007.0;27409.0;27598.0;111150000.0;144600.0
465.0;0.0;42.0;55160.0;27563.0;27597.0;111250000.0;145000.0
468.0;0.0;42.0;55322.0;27725.0;27597.0;111300000.0;145200.0
471.0;0.0;42.0;55399.0;27802.0;27597.0;111300000.0;145200.0
474.0;0.0;42.0;55500.0;27905.0;27595.0;111350000.0;145400.0
477.0;0.0;42.0;55554.0;27960.0;27594.0;111350000.0;145400.0
480.0;0.0;42.0;55595.0;28000.0;27595.0;111400000.0;145600.0
483.0;0.0;42.0;55600.0;28006.0;27594.0;111550000.0;146200.0
486.0;0.0;42.0;55795.0;28201.0;27594.0;111650000.0;146600.0
489.0;0.0;42.0;55890.0;28299.0;27591.0;111950000.0;147800.0
492.0;0.0;42.0;56046.0;28458.0;27588.0;112100000.0;148400.0
495.0;1.0;43.0;56217.0;28635.0;27582.0;112250000.0;149000.0
498.0;0.0;43.0;56342.0;28765.0;27577.0;112400000.0;149600.0
501.0;0.0;43.0;56424.0;28848.0;27576.0;112450000.0;149800.0
504.0;0.0;43.0;56600.0;29024.0;27576.0;112450000.0;149800.0
507.0;0.0;43.0;56729.0;29155.0;27574.0;112600000.0;150400.0
510.0;0.0;43.0;56764.0;29193.0;27571.0;112750000.0;151000.0
513.0;0.0;43.0;56875.0;29305.0;27570.0;113000000.0;152000.0
516.0;0.0;43.0;56934.0;29364.0;27570.0;113250000.0;153000.0
519.0;0.0;43.0;57020.0;29448.0;27572.0;113350000.0;153400.0
522.0;0.0;43.0;57201.0;29632.0;27569.0;113450000.0;153800.0
525.0;0.0;43.0;57394.0;29830.0;27564.0;113550000.0;154200.0
528.0;0.0;43.0;57466.0;29905.0;27561.0;113550000.0;154200.0
531.0;1.0;44.0;57636.0;30075.0;27561.0;113650000.0;154600.0
534.0;0.0;44.0;57801.0;30238.0;27563.0;113750000.0;155000.0
537.0;0.0;44.0;57974.0;30416.0;27558.0;113800000.0;155200.0
540.0;0.0;44.0;58071.0;30513.0;27558.0;113950000.0;155800.0
543.0;0.0;44.0;58210.0;30650.0;27560.0;114050000.0;156200.0
546.0;0.0;44.0;58395.0;30835.0;27560.0;114200000.0;156800.0
549.0;0.0;44.0;58398.0;30840.0;27558.0;114300000.0;157200.0
552.0;0.0;44.0;58451.0;30897.0;27554.0;114350000.0;157400.0
555.0;0.0;44.0;58640.0;31088.0;27552.0;114400000.0;157600.0
558.0;0.0;44.0;58750.0;31198.0;27552.0;114500000.0;158000.0
561.0;1.0;45.0;58790.0;31244.0;27546.0;114600000.0;158400.0
564.0;0.0;45.0;58884.0;31339.0;27545.0;114600000.0;158400.0
567.0;0.0;45.0;58907.0;31361.0;27546.0;114600000.0;158400.0
570.0;0.0;45.0;58950.0;31407.0;27543.0;114800000.0;159200.0
573.0;0.0;45.0;58984.0;31442.0;27542.0;114950000.0;159800.0
576.0;0.0;45.0;59069.0;31528.0;27541.0;115050000.0;160200.0
579.0;0.0;45.0;59113.0;31575.0;27538.0;115150000.0;160600.0
582.0;0.0;45.0;59115.0;31580.0;27535.0;115300000.0;161200.0
585.0;0.0;45.0;59260.0;31731.0;27529.0;115450000.0;161800.0
588.0;0.0;45.0;59358.0;31831.0;27527.0;115550000.0;162200.0
591.0;0.0;45.0;59499.0;31973.0;27526.0;115550000.0;162200.0
594.0;1.0;46.0;59618.0;32095.0;27523.0;115550000.0;162200.0
597.0;0.0;46.0;59776.0;32252.0;27524.0;115650000.0;162600.0
600.0;0.0;46.0;59871.0;32347.0;27524.0;115650000.0;162600.0
603.0;0.0;46.0;59920.0;32398.0;27522.0;115750000.0;163000.0
606.0;0.0;46.0;59973.0;32451.0;27522.0;115850000.0;163400.0
609.0;0.0;46.0;60108.0;32586.0;27522.0;115950000.0;163800.0
612.0;0.0;46.0;60284.0;32764.0;27520.0;116000000.0;164000.0
615.0;0.0;46.0;60339.0;32822.0;27517.0;116100000.0;164400.0
618.0;0.0;46.0;60506.0;32992.0;27514.0;116250000.0;165000.0
621.0;0.0;46.0;60544.0;33033.0;27511.0;116300000.0;165200.0
624.0;0.0;46.0;60678.0;33169.0;27509.0;116350000.0;165400.0
627.0;0.0;46.0;60781.0;33273.0;27508.0;116650000.0;166600.0
630.0;0.0;46.0;60952.0;33451.0;27501.0;116900000.0;167600.0
633.0;0.0;46.0;60957.0;33461.0;27496.0;117200000.0;168800.0
636.0;0.0;46.0;61149.0;33655.0;27494.0;117300000.0;169200.0
639.0;0.0;46.0;61315.0;33824.0;27491.0;117450000.0;169800.0
642.0;0.0;46.0;61467.0;33979.0;27488.0;117450000.0;169800.0
645.0;0.0;46.0;61611.0;34126.0;27485.0;117550000.0;170200.0
648.0;0.0;46.0;61682.0;34197.0;27485.0;117700000.0;170800.0
651.0;0.0;46.0;61763.0;34282.0;27481.0;117800000.0;171200.0
654.0;0.0;46.0;61765.0;34287.0;27478.0;118000000.0;172000.0
657.0;0.0;46.0;61766.0;34290.0;27476.0;118000000.0;172000.0
660.0;0.0;46.0;61900.0;34426.0;27474.0;118100000.0;172400.0
663.0;0.0;46.0;62038.0;34567.0;27471.0;118550000.0;174200.0
666.0;0.0;46.0;62154.0;34685.0;27469.0;118750000.0;175000.0
669.0;0.0;46.0;62323.0;34854.0;27469.0;118750000.0;175000.0
672.0;0.0;46.0;62443.0;34976.0;27467.0;119000000.0;176000.0
675.0;0.0;46.0;62466.0;35003.0;27463.0;119100000.0;176400.0
678.0;0.0;46.0;62475.0;35016.0;27459.0;119150000.0;176600.0
681.0;0.0;46.0;62648.0;35188.0;27460.0;119250000.0;177000.0
684.0;0.0;46.0;62828.0;35373.0;27455.0;119450000.0;177800.0
687.0;0.0;46.0;62887.0;35434.0;27453.0;119550000.0;178200.0
690.0;0.0;46.0;62965.0;35513.0;27452.0;119650000.0;178600.0
693.0;0.0;46.0;63004.0;35556.0;27448.0;119850000.0;179400.0
696.0;0.0;46.0;63057.0;35614.0;27443.0;119950000.0;179800.0
699.0;0.0;46.0;63118.0;35678.0;27440.0;120000000.0;180000.0
702.0;0.0;46.0;63304.0;35865.0;27439.0;120150000.0;180600.0
705.0;0.0;46.0;63402.0;35960.0;27442.0;120400000.0;181600.0
708.0;0.0;46.0;63452.0;36014.0;27438.0;120500000.0;182000.0
711.0;0.0;46.0;63603.0;36172.0;27431.0;120750000.0;183000.0
714.0;0.0;46.0;63642.0;36210.0;27432.0;120950000.0;183800.0
717.0;1.0;47.0;63678.0;36246.0;27432.0;121100000.0;184400.0
720.0;1.0;48.0;63861.0;36434.0;27427.0;121300000.0;185200.0
723.0;0.0;48.0;63956.0;36534.0;27422.0;121400000.0;185600.0
726.0;0.0;48.0;63961.0;36538.0;27423.0;121550000.0;186200.0
729.0;0.0;48.0;64121.0;36701.0;27420.0;121600000.0;186400.0
732.0;0.0;48.0;64122.0;36698.0;27424.0;121650000.0;186600.0
735.0;1.0;49.0;64247.0;36825.0;27422.0;121700000.0;186800.0
738.0;0.0;49.0;64444.0;37023.0;27421.0;121750000.0;187000.0
741.0;0.0;49.0;64583.0;37159.0;27424.0;121950000.0;187800.0
744.0;1.0;50.0;64650.0;37226.0;27424.0;122000000.0;188000.0
747.0;0.0;50.0;64838.0;37414.0;27424.0;122100000.0;188400.0
750.0;0.0;50.0;64834.0;37410.0;27424.0;122250000.0;189000.0
753.0;0.0;50.0;64941.0;37516.0;27425.0;122350000.0;189400.0
756.0;0.0;50.0;64949.0;37523.0;27426.0;122350000.0;189400.0
759.0;0.0;50.0;65095.0;37670.0;27425.0;122550000.0;190200.0
762.0;0.0;50.0;65183.0;37757.0;27426.0;122700000.0;190800.0
765.0;0.0;50.0;65354.0;37933.0;27421.0;122750000.0;191000.0
768.0;0.0;50.0;65504.0;38085.0;27419.0;123000000.0;192000.0
771.0;0.0;50.0;65590.0;38168.0;27422.0;123200000.0;192800.0
774.0;0.0;50.0;65663.0;38244.0;27419.0;123250000.0;193000.0
777.0;0.0;50.0;65839.0;38425.0;27414.0;123500000.0;194000.0
780.0;0.0;50.0;65840.0;38426.0;27414.0;123700000.0;194800.0
783.0;1.0;51.0;65840.0;38426.0;27414.0;123850000.0;195400.0
786.0;1.0;52.0;66027.0;38614.0;27413.0;124150000.0;196600.0
789.0;2.0;54.0;66206.0;38795.0;27411.0;124250000.0;197000.0
792.0;0.0;54.0;66247.0;38840.0;27407.0;124450000.0;197800.0
795.0;0.0;54.0;66412.0;39004.0;27408.0;124600000.0;198400.0
798.0;1.0;55.0;66527.0;39120.0;27407.0;124750000.0;199000.0
801.0;0.0;55.0;66725.0;39315.0;27410.0;124800000.0;199200.0
804.0;0.0;55.0;66748.0;39340.0;27408.0;125100000.0;200400.0
807.0;0.0;55.0;66936.0;39533.0;27403.0;125300000.0;201200.0
810.0;1.0;56.0;67046.0;39649.0;27397.0;125550000.0;202200.0
813.0;0.0;56.0;67053.0;39656.0;27397.0;125750000.0;203000.0
816.0;0.0;56.0;67154.0;39758.0;27396.0;125900000.0;203600.0
819.0;0.0;56.0;67227.0;39837.0;27390.0;126050000.0;204200.0
822.0;0.0;56.0;67344.0;39959.0;27385.0;126250000.0;205000.0
825.0;0.0;56.0;67357.0;39975.0;27382.0;126650000.0;206600.0
828.0;0.0;56.0;67425.0;40043.0;27382.0;126750000.0;207000.0
831.0;0.0;56.0;67542.0;40162.0;27380.0;126800000.0;207200.0
834.0;0.0;56.0;67664.0;40284.0;27380.0;127050000.0;208200.0
837.0;1.0;57.0;67747.0;40374.0;27373.0;127150000.0;208600.0
840.0;0.0;57.0;67899.0;40527.0;27372.0;127250000.0;209000.0
843.0;0.0;57.0;67999.0;40629.0;27370.0;127250000.0;209000.0
846.0;0.0;57.0;68121.0;40752.0;27369.0;127350000.0;209400.0
849.0;0.0;57.0;68230.0;40866.0;27364.0;127700000.0;210800.0
852.0;0.0;57.0;68370.0;41006.0;27364.0;127800000.0;211200.0
855.0;0.0;57.0;68406.0;41046.0;27360.0;128000000.0;212000.0
858.0;0.0;57.0;68455.0;41100.0;27355.0;128200000.0;212800.0
861.0;0.0;57.0;68503.0;41150.0;27353.0;128400000.0;213600.0
864.0;0.0;57.0;68651.0;41298.0;27353.0;128650000.0;214600.0
867.0;0.0;57.0;68655.0;41303.0;27352.0;128700000.0;214800.0
870.0;0.0;57.0;68831.0;41480.0;27351.0;128850000.0;215400.0
873.0;0.0;57.0;68892.0;41546.0;27346.0;129100000.0;216400.0
876.0;0.0;57.0;68906.0;41562.0;27344.0;129150000.0;216600.0
879.0;0.0;57.0;69066.0;41727.0;27339.0;129700000.0;218800.0
882.0;0.0;57.0;69215.0;41878.0;27337.0;130000000.0;220000.0
885.0;0.0;57.0;69246.0;41910.0;27336.0;130200000.0;220800.0
888.0;0.0;57.0;69423.0;42089.0;27334.0;130450000.0;221800.0
891.0;0.0;57.0;69591.0;42257.0;27334.0;130550000.0;222200.0
894.0;0.0;57.0;69722.0;42391.0;27331.0;130700000.0;222800.0
897.0;1.0;58.0;69819.0;42491.0;27328.0;130800000.0;223200.0
900.0;0.0;58.0;70007.0;42679.0;27328.0;131000000.0;224000.0
903.0;1.0;59.0;70046.0;42715.0;27331.0;131100000.0;224400.0
