Hubald model simulation data
""
starting_time = Fri Mar 15 01:45:12 2024
finishing_time = Sat Mar 16 21:51:38 2024
elapsed_time = 158786.35854506493 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0001
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
159.0;0.0;53.0;73815.0;36256.0;37559.0;101935000.0;143000.0;0.0;2.0;220.22705626487732
162.0;0.0;53.0;74260.0;36657.0;37603.0;101935000.0;143000.0;1.0;0.0;220.90465092658997
165.0;0.0;53.0;74702.0;37058.0;37644.0;101962000.0;143600.0;3.0;3.0;222.1372470855713
168.0;0.0;53.0;75142.0;37450.0;37692.0;102007000.0;144600.0;0.0;5.0;223.81095910072327
171.0;0.0;53.0;75584.0;37844.0;37740.0;102034000.0;145200.0;2.0;3.0;224.15834712982178
174.0;0.0;53.0;76024.0;38211.0;37813.0;102079000.0;146200.0;4.0;5.0;224.96120500564575
177.0;0.0;53.0;76464.0;38603.0;37861.0;102124000.0;147200.0;0.0;5.0;227.82318592071533
180.0;0.0;53.0;76908.0;39019.0;37889.0;102133000.0;147400.0;1.0;1.0;228.94786190986633
183.0;0.0;53.0;77353.0;39408.0;37945.0;102133000.0;147400.0;0.0;0.0;230.46344923973083
186.0;0.0;53.0;77795.0;39806.0;37989.0;102160000.0;148000.0;1.0;3.0;231.3779411315918
189.0;1.0;53.0;78237.0;40211.0;38026.0;102187000.0;148600.0;2.0;1.0;232.13862085342407
192.0;0.0;54.0;78679.0;40614.0;38065.0;102214000.0;149200.0;1.0;3.0;232.97485280036926
195.0;0.0;54.0;79119.0;41015.0;38104.0;102259000.0;150200.0;1.0;5.0;234.84582829475403
198.0;0.0;54.0;79562.0;41417.0;38145.0;102277000.0;150600.0;1.0;2.0;235.99553799629211
201.0;0.0;54.0;80005.0;41818.0;38187.0;102295000.0;151000.0;0.0;2.0;237.66850209236145
204.0;0.0;54.0;80449.0;42205.0;38244.0;102304000.0;151200.0;0.0;1.0;237.95057106018066
207.0;0.0;54.0;80891.0;42613.0;38278.0;102331000.0;151800.0;0.0;3.0;239.5072000026703
210.0;0.0;54.0;81333.0;43002.0;38331.0;102358000.0;152400.0;0.0;3.0;242.33721899986267
213.0;0.0;54.0;81777.0;43397.0;38380.0;102367000.0;152600.0;2.0;1.0;242.16575264930725
