Hubald model simulation data
""
starting_time = Tue Mar 12 11:42:46 2024
finishing_time = Wed Mar 13 14:01:07 2024
elapsed_time = 94700.49071502686 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0002
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 500
deorbits_per_timestep = 50
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
159.0;0.0;44.0;73688.0;36052.0;37636.0;103078000.0;168400.0;5.0;7.0;220.23130130767822
162.0;0.0;44.0;74127.0;36431.0;37696.0;103132000.0;169600.0;3.0;6.0;220.75209712982178
165.0;0.0;44.0;74565.0;36822.0;37743.0;103195000.0;171000.0;1.0;7.0;222.88140392303467
168.0;0.0;44.0;75006.0;37200.0;37806.0;103231000.0;171800.0;3.0;4.0;223.7403621673584
171.0;0.0;44.0;75440.0;37586.0;37854.0;103330000.0;174000.0;1.0;11.0;224.21676802635193
174.0;0.0;44.0;75879.0;37983.0;37896.0;103384000.0;175200.0;2.0;6.0;225.37126398086548
177.0;0.0;44.0;76311.0;38371.0;37940.0;103501000.0;177800.0;1.0;13.0;227.32736110687256
180.0;0.0;44.0;76748.0;38767.0;37981.0;103573000.0;179400.0;1.0;8.0;228.29570889472961
183.0;0.0;44.0;77185.0;39145.0;38040.0;103645000.0;181000.0;4.0;8.0;229.89305806159973
186.0;1.0;44.0;77619.0;39531.0;38088.0;103744000.0;183200.0;1.0;9.0;232.04916715621948
189.0;2.0;45.0;78053.0;39921.0;38132.0;103843000.0;185400.0;2.0;7.0;231.67037677764893
192.0;0.0;47.0;78493.0;40316.0;38177.0;103888000.0;186400.0;3.0;5.0;233.26305508613586
195.0;0.0;47.0;78926.0;40715.0;38211.0;103996000.0;188800.0;2.0;12.0;233.859060049057
198.0;1.0;47.0;79356.0;41109.0;38247.0;104131000.0;191800.0;1.0;13.0;237.67936301231384
201.0;0.0;48.0;79790.0;41500.0;38290.0;104230000.0;194000.0;1.0;11.0;236.66283416748047
204.0;0.0;48.0;80227.0;41888.0;38339.0;104302000.0;195600.0;4.0;8.0;237.72733426094055
207.0;0.0;48.0;80665.0;42271.0;38394.0;104365000.0;197000.0;4.0;7.0;239.5675220489502
210.0;0.0;48.0;81100.0;42667.0;38433.0;104455000.0;199000.0;1.0;10.0;242.35499906539917
213.0;0.0;48.0;81537.0;43065.0;38472.0;104527000.0;200600.0;1.0;8.0;242.59168004989624
216.0;0.0;48.0;81974.0;43448.0;38526.0;104599000.0;202200.0;5.0;8.0;243.29631114006042
219.0;1.0;48.0;82410.0;43834.0;38576.0;104680000.0;204000.0;5.0;7.0;244.9364471435547
222.0;0.0;49.0;82848.0;44220.0;38628.0;104743000.0;205400.0;4.0;7.0;245.4925501346588
225.0;0.0;49.0;83286.0;44610.0;38676.0;104806000.0;206800.0;3.0;7.0;246.8842511177063
228.0;0.0;49.0;83723.0;45008.0;38715.0;104878000.0;208400.0;5.0;8.0;247.2424237728119
