Hubald model simulation data
""
starting_time = Tue Mar  5 11:38:25 2024
finishing_time = Tue Mar  5 14:01:11 2024
elapsed_time = 8566.510259151459 s
matrix_mode = import
launch_mode = njit
accuracy = 20
prob_thresh = 10**(-15)
starting_sats = 50000
sigma = 2000
fragment_collision_prob = 0.0005
active_percentage = 0.8
aLimits = [200000, 2000000]
small_fragments = 100000000
large_fragments = 100000
timestep = 3
tmax = 1200
starts_per_timestep = 100
deorbits_per_timestep = 10
num_workers = 12

Time;Collisions per iteration;Total collisions;Total satellites;Active satellites;Passive satellites;Small fragments;Large fragments;Small fragment collisions;Large fragment collisions
0.0;22.0;0.0;50006.0;14981.0;35025.0;100450000.0;110000.0;1.0;6.0;40.9393630027771
3.0;0.0;22.0;50088.0;15056.0;35032.0;100477000.0;110600.0;1.0;3.0;40.35505294799805
6.0;2.0;22.0;50165.0;15128.0;35037.0;100549000.0;112200.0;0.0;4.0;40.378653049468994
9.0;2.0;24.0;50240.0;15200.0;35040.0;100639000.0;114200.0;3.0;6.0;40.688257694244385
12.0;3.0;26.0;50309.0;15275.0;35034.0;100783000.0;117400.0;0.0;10.0;40.44554805755615
15.0;1.0;29.0;50387.0;15343.0;35044.0;100846000.0;118800.0;1.0;5.0;40.75551199913025
18.0;1.0;30.0;50466.0;15412.0;35054.0;100900000.0;120000.0;4.0;4.0;41.05154013633728
21.0;1.0;31.0;50544.0;15483.0;35061.0;100963000.0;121400.0;2.0;5.0;41.25943875312805
24.0;0.0;32.0;50618.0;15560.0;35058.0;101062000.0;123600.0;1.0;11.0;41.52087903022766
27.0;2.0;32.0;50690.0;15626.0;35064.0;101179000.0;126200.0;2.0;9.0;41.292593240737915
30.0;1.0;34.0;50764.0;15695.0;35069.0;101278000.0;128400.0;5.0;9.0;41.88122510910034
33.0;0.0;35.0;50837.0;15766.0;35071.0;101386000.0;130800.0;1.0;12.0;41.862897872924805
36.0;1.0;35.0;50907.0;15834.0;35073.0;101521000.0;133800.0;1.0;13.0;41.79289698600769
39.0;0.0;36.0;50975.0;15909.0;35066.0;101674000.0;137200.0;2.0;17.0;41.89000105857849
42.0;1.0;36.0;51048.0;15984.0;35064.0;101782000.0;139600.0;4.0;10.0;42.31643509864807
45.0;0.0;37.0;51125.0;16052.0;35073.0;101854000.0;141200.0;4.0;8.0;42.07136917114258
48.0;0.0;37.0;51199.0;16122.0;35077.0;101953000.0;143400.0;3.0;11.0;42.28024983406067
51.0;1.0;37.0;51275.0;16205.0;35070.0;102034000.0;145200.0;2.0;7.0;42.36994481086731
54.0;2.0;38.0;51344.0;16280.0;35064.0;102178000.0;148400.0;1.0;12.0;42.07081079483032
57.0;0.0;40.0;51415.0;16348.0;35067.0;102304000.0;151200.0;2.0;14.0;42.166324853897095
60.0;0.0;40.0;51490.0;16425.0;35065.0;102394000.0;153200.0;1.0;10.0;42.200560092926025
63.0;1.0;40.0;51562.0;16504.0;35058.0;102511000.0;155800.0;2.0;11.0;41.8043487071991
66.0;0.0;41.0;51638.0;16569.0;35069.0;102592000.0;157600.0;4.0;9.0;42.358036041259766
69.0;0.0;41.0;51707.0;16642.0;35065.0;102736000.0;160800.0;2.0;16.0;42.14069986343384
72.0;1.0;41.0;51783.0;16707.0;35076.0;102817000.0;162600.0;2.0;7.0;42.27460312843323
75.0;0.0;42.0;51853.0;16775.0;35078.0;102952000.0;165600.0;1.0;15.0;42.35142397880554
78.0;0.0;42.0;51931.0;16847.0;35084.0;103015000.0;167000.0;1.0;7.0;42.37709093093872
81.0;0.0;42.0;51998.0;16920.0;35078.0;103177000.0;170600.0;3.0;18.0;42.35553216934204
84.0;1.0;42.0;52074.0;16991.0;35083.0;103258000.0;172400.0;4.0;7.0;42.45382237434387
87.0;0.0;43.0;52150.0;17063.0;35087.0;103339000.0;174200.0;2.0;9.0;42.613067865371704
90.0;0.0;43.0;52225.0;17131.0;35094.0;103429000.0;176200.0;2.0;10.0;42.54897165298462
93.0;1.0;43.0;52286.0;17197.0;35089.0;103645000.0;181000.0;0.0;22.0;42.84666967391968
96.0;0.0;44.0;52362.0;17269.0;35093.0;103726000.0;182800.0;3.0;9.0;42.71599888801575
99.0;0.0;44.0;52431.0;17332.0;35099.0;103870000.0;186000.0;3.0;16.0;42.9688720703125
102.0;1.0;44.0;52495.0;17397.0;35098.0;104059000.0;190200.0;3.0;19.0;43.00838780403137
105.0;0.0;45.0;52569.0;17461.0;35108.0;104158000.0;192400.0;3.0;11.0;43.3396360874176
108.0;1.0;45.0;52642.0;17532.0;35110.0;104266000.0;194800.0;0.0;10.0;42.97916102409363
111.0;0.0;46.0;52718.0;17600.0;35118.0;104347000.0;196600.0;0.0;9.0;42.84194302558899
114.0;0.0;46.0;52790.0;17675.0;35115.0;104464000.0;199200.0;2.0;13.0;42.97023606300354
117.0;0.0;46.0;52857.0;17747.0;35110.0;104626000.0;202800.0;2.0;18.0;43.27528095245361
120.0;0.0;46.0;52927.0;17815.0;35112.0;104761000.0;205800.0;3.0;15.0;43.396251916885376
123.0;0.0;46.0;52998.0;17881.0;35117.0;104887000.0;208600.0;2.0;14.0;43.137340784072876
126.0;1.0;46.0;53066.0;17951.0;35115.0;105040000.0;212000.0;2.0;15.0;43.07718873023987
129.0;0.0;47.0;53127.0;18022.0;35105.0;105256000.0;216800.0;3.0;24.0;43.15853190422058
132.0;0.0;47.0;53198.0;18085.0;35113.0;105382000.0;219600.0;5.0;14.0;43.439733028411865
135.0;0.0;47.0;53262.0;18156.0;35106.0;105571000.0;223800.0;3.0;21.0;43.290257930755615
138.0;0.0;47.0;53335.0;18221.0;35114.0;105679000.0;226200.0;3.0;12.0;43.25996994972229
141.0;0.0;47.0;53405.0;18293.0;35112.0;105814000.0;229200.0;3.0;15.0;43.4193389415741
144.0;0.0;47.0;53470.0;18361.0;35109.0;105994000.0;233200.0;1.0;20.0;43.4932758808136
147.0;0.0;47.0;53540.0;18426.0;35114.0;106129000.0;236200.0;5.0;15.0;43.663042068481445
150.0;0.0;47.0;53615.0;18499.0;35116.0;106219000.0;238200.0;2.0;10.0;43.63160490989685
153.0;0.0;47.0;53682.0;18572.0;35110.0;106381000.0;241800.0;2.0;18.0;43.67828989028931
156.0;0.0;47.0;53751.0;18644.0;35107.0;106525000.0;245000.0;3.0;16.0;43.747459173202515
159.0;0.0;47.0;53820.0;18714.0;35106.0;106669000.0;248200.0;4.0;16.0;44.01771092414856
162.0;0.0;47.0;53888.0;18782.0;35106.0;106822000.0;251600.0;4.0;17.0;43.56815314292908
165.0;0.0;47.0;53954.0;18850.0;35104.0;106993000.0;255400.0;2.0;19.0;43.75804328918457
168.0;1.0;47.0;54025.0;18920.0;35105.0;107119000.0;258200.0;4.0;12.0;43.92751407623291
171.0;0.0;48.0;54095.0;18991.0;35104.0;107254000.0;261200.0;3.0;15.0;43.738377809524536
174.0;0.0;48.0;54164.0;19060.0;35104.0;107398000.0;264400.0;1.0;16.0;43.862486839294434
177.0;0.0;48.0;54228.0;19128.0;35100.0;107587000.0;268600.0;5.0;21.0;43.80018401145935
180.0;1.0;48.0;54296.0;19190.0;35106.0;107740000.0;272000.0;3.0;15.0;43.86221408843994
183.0;0.0;49.0;54354.0;19256.0;35098.0;107983000.0;277400.0;4.0;27.0;43.72084283828735
186.0;0.0;49.0;54417.0;19319.0;35098.0;108181000.0;281800.0;1.0;22.0;44.39604091644287
189.0;0.0;49.0;54485.0;19387.0;35098.0;108334000.0;285200.0;2.0;17.0;44.01532697677612
192.0;0.0;49.0;54540.0;19442.0;35098.0;108604000.0;291200.0;2.0;30.0;43.913774251937866
