4.000000000000000000e+02,2.006500000000000000e+04,2.706159962784226991e-09
2.573000000000000000e+03,3.859400000000000000e+04,1.177440478450364481e-09
7.053000000000000000e+03,7.146000000000000000e+03,3.206144564837920541e-06
1.050700000000000000e+04,2.256800000000000000e+04,1.679028978074370571e-07
1.078700000000000000e+04,1.613700000000000000e+04,2.528395270928740501e-10
1.255500000000000000e+04,4.549300000000000000e+04,1.593468141436460428e-06
1.484300000000000000e+04,4.753700000000000000e+04,3.288160854708621628e-10
1.530500000000000000e+04,2.903000000000000000e+04,2.327444957872515374e-07
1.613700000000000000e+04,1.078700000000000000e+04,2.528395270928740501e-10
1.630600000000000000e+04,2.693700000000000000e+04,8.439637877444283731e-10
1.735400000000000000e+04,2.614000000000000000e+04,1.203174212482949201e-06
2.006500000000000000e+04,4.000000000000000000e+02,2.706159962784226991e-09
2.256800000000000000e+04,1.050700000000000000e+04,1.679028978074370571e-07
2.614000000000000000e+04,1.735400000000000000e+04,1.203174212482949201e-06
2.693700000000000000e+04,1.630600000000000000e+04,8.439637877444283731e-10
2.903000000000000000e+04,1.530500000000000000e+04,2.327444957872515374e-07
3.859400000000000000e+04,2.573000000000000000e+03,1.177440478450364481e-09
4.332400000000000000e+04,3.845700000000000000e+04,6.264286867008195259e-10
4.366700000000000000e+04,3.821500000000000000e+04,6.424617349232164543e-08
4.419900000000000000e+04,2.182000000000000000e+03,9.893064145671814913e-10
4.549300000000000000e+04,1.255500000000000000e+04,1.593468141436460428e-06
4.753700000000000000e+04,1.484300000000000000e+04,3.288160854708621628e-10
